,,,Linguistic Inquiry and Word Count   LIWC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
own,,,,,,,,,,supports,,,,,,,,,,,,mums,,,,flatter*,partie*,mourn*,,,,fundamentals,,,,,,,,,,,,,immun*,,,,,histor*,,,,studies,,,,,,,,,
part,,,,,,,,,,suppose,,,,,,,,,,,,mum's,,,,flawless*,party*,murder*,,,,fuzz*,,,,,,,,,,,,,incest*,,,,,horizontal*,,,,studious,,,,,,,,,
partly,,,,,,,,,,supposed,,,,,,,,,,,,name,,,,flexib*,passion*,nag*,,,,general,,,,,,,,,,,,,indigestion,,,,,hour*,,,,study*,,,,,,,,,
perhaps,,,,,,,,,,supposes,,,,,,,,,,,,negotiat*,,,,flirt*,peace*,nast*,,,,generally,,,,,,,,,,,,,infect*,,,,,huge*,,,,succeed*,,,,,,,,,
piec*,,,,,,,,,,take,,,,,,,,,,,,neighbor*,,,,flunk*,perfect*,needy,,,,generate*,,,,,,,,,,,,,inflam*,,,,,hurrie*,,,,success*,,,,,,,,,
plenty,,,,,,,,,,taken,,,,,,,,,,,,neighbour*,,,,foe*,play,neglect*,,,,generating,,,,,,,,,,,,,ingest*,,,,,hurry*,,,,supervis*,,,,,,,,,
plus,,,,,,,,,,takes,,,,,,,,,,,,nephew*,,,,fond,played,nerd*,,,,generator*,,,,,,,,,,,,,injur*,,,,,immediate,,,,syllabus*,,,,,,,,,
primarily,,,,,,,,,,taking,,,,,,,,,,,,newborn*,,,,fondly,playful*,nervous*,,,,grasp*,,,,,,,,,,,,,insomnia*,,,,,immediately,,,,taught,,,,,,,,,
probably,,,,,,,,,,talked,,,,,,,,,,,,niece*,,,,fondness,playing,neurotic*,,,,guarant*,,,,,,,,,,,,,insulin,,,,,immediateness,,,,tax,,,,,,,,,
quarter*,,,,,,,,,,taught,,,,,,,,,,,,offer*,,,,fool*,plays,numb*,,,,guard*,,,,,,,,,,,,,intestin*,,,,,immortal*,,,,taxa*,,,,,,,,,
quick*,,,,,,,,,,tend,,,,,,,,,,,,organiz*,,,,forbid*,pleasant*,obnoxious*,,,,guess,,,,,,,,,,,,,intox*,,,,,in,,,,taxed,,,,,,,,,
rarely,,,,,,,,,,tended,,,,,,,,,,,,our,,,,forgave,please*,obsess*,,,,guessed,,,,,,,,,,,,,itch*,,,,,inch*,,,,taxes,,,,,,,,,
rather,,,,,,,,,,tends,,,,,,,,,,,,ours,,,,forgiv*,pleasing,offence*,,,,guesses,,,,,,,,,,,,,iv,,,,,inciden*,,,,taxing,,,,,,,,,
really,,,,,,,,,,thank,,,,,,,,,,,,ourselves,,,,fought,pleasur*,offend*,,,,guessing,,,,,,,,,,,,,jaw*,,,,,increas*,,,,teach*,,,,,,,,,
remaining,,,,,,,,,,thanked,,,,,,,,,,,,outsider*,,,,frantic*,popular*,offens*,,,,halfass*,,,,,,,,,,,,,jissom,,,,,infinit*,,,,team*,,,,,,,,,
rest,,,,,,,,,,thanks,,,,,,,,,,,,overhear*,,,,freak*,positiv*,outrag*,,,,halt*,,,,,,,,,,,,,jizz,,,,,initial*,,,,tenure*,,,,,,,,,
same,,,,,,,,,,thatd,,,,,,,,,,,,owner*,,,,free,prais*,overwhelm*,,,,hangup*,,,,,,,,,,,,,joints,,,,,initiat*,,,,test,,,,,,,,,
second,,,,,,,,,,that'd,,,,,,,,,,,,pa,,,,freeb*,precious*,pain,,,,hardly,,,,,,,,,,,,,kidney*,,,,,inner*,,,,tested,,,,,,,,,
section,,,,,,,,,,thatll,,,,,,,,,,,,pal,,,,freed*,prettie*,pained,,,,harness*,,,,,,,,,,,,,kiss*,,,,,inside,,,,testing,,,,,,,,,
seriously,,,,,,,,,,that'll,,,,,,,,,,,,pals,,,,freeing,pretty,painf*,,,,hazie*,,,,,,,,,,,,,kitchen*,,,,,insides,,,,tests,,,,,,,,,
seven*,,,,,,,,,,thats,,,,,,,,,,,,pappy,,,,freely,pride,paining,,,,hazy,,,,,,,,,,,,,knee*,,,,,instan*,,,,textbook*,,,,,,,,,
several,,,,,,,,,,that's,,,,,,,,,,,,parent*,,,,freeness,privileg*,pains,,,,held,,,,,,,,,,,,,knuckle*,,,,,interior*,,,,theses,,,,,,,,,
shall,,,,,,,,,,theres,,,,,,,,,,,,participant*,,,,freer,prize*,panic*,,,,hence,,,,,,,,,,,,,leg,,,,,internal*,,,,thesis,,,,,,,,,
shant,,,,,,,,,,there's,,,,,,,,,,,,participat*,,,,frees*,profit*,paranoi*,,,,hesita*,,,,,,,,,,,,,legs*,,,,,internation*,,,,toefl,,,,,,,,,
shan't,,,,,,,,,,theyd,,,,,,,,,,,,partie*,,,,friend*,promis*,pathetic*,,,,hold*,,,,,,,,,,,,,lesbian*,,,,,intersect*,,,,trade*,,,,,,,,,
she,,,,,,,,,,they'd,,,,,,,,,,,,partner*,,,,fright*,proud*,peculiar*,,,,hope,,,,,,,,,,,,,leuke*,,,,,interval*,,,,trading,,,,,,,,,
she'd,,,,,,,,,,theyll,,,,,,,,,,,,party*,,,,frustrat*,radian*,perver*,,,,hoped,,,,,,,,,,,,,libid*,,,,,into,,,,transcript*,,,,,,,,,
she'll,,,,,,,,,,they'll,,,,,,,,,,,,pa's,,,,fuck,readiness,pessimis*,,,,hopeful,,,,,,,,,,,,,life,,,,,january,,,,transfer*,,,,,,,,,
shes,,,,,,,,,,theyre,,,,,,,,,,,,people*,,,,fucked*,ready,petrif*,,,,hopefully,,,,,,,,,,,,,lip,,,,,jog*,,,,tutor*,,,,,,,,,
she's,,,,,,,,,,they're,,,,,,,,,,,,person,,,,fucker*,reassur*,pettie*,,,,hopefulness,,,,,,,,,,,,,lips*,,,,,journey*,,,,type*,,,,,,,,,
should,,,,,,,,,,theyve,,,,,,,,,,,,personal,,,,fuckin*,relax*,petty*,,,,hopes,,,,,,,,,,,,,liquor*,,,,,july,,,,typing,,,,,,,,,
shouldnt,,,,,,,,,,they've,,,,,,,,,,,,persons,,,,fucks,relief,phobi*,,,,hoping,,,,,,,,,,,,,liver*,,,,,jump*,,,,undergrad*,,,,,,,,,
should'nt,,,,,,,,,,think,,,,,,,,,,,,person's,,,,fume*,reliev*,piss*,,,,how,,,,,,,,,,,,,living,,,,,june,,,,underpaid,,,,,,,,,
shouldn't,,,,,,,,,,thinks,,,,,,,,,,,,persua*,,,,fuming,resolv*,piti*,,,,hows,,,,,,,,,,,,,love,,,,,kilometer*,,,,unemploy*,,,,,,,,,
shouldve,,,,,,,,,,thought,,,,,,,,,,,,phone*,,,,fun,respect ,pity* ,,,,how's,,,,,,,,,,,,,loved,,,,,km*,,,,universit*,,,,,,,,,
should've,,,,,,,,,,threw,,,,,,,,,,,,phoning,,,,funn*,revigor*,poison*,,,,hypothes*,,,,,,,,,,,,,lover*,,,,,land,,,,unproduc*,,,,,,,,,
since,,,,,,,,,,told,,,,,,,,,,,,prais*,,,,furious*,reward*,prejudic*,,,,hypothetic*,,,,,,,,,,,,,loves,,,,,large*,,,,upperclass*,,,,,,,,,
singl*,,,,,,,,,,took,,,,,,,,,,,,private,,,,fury,rich*,pressur*,,,,idea,,,,,,,,,,,,,lozenge*,,,,,last*,,,,varsit*,,,,,,,,,
six*,,,,,,,,,,tried,,,,,,,,,,,,provide,,,,geek*,ROFL,prick*,,,,ideal*,,,,,,,,,,,,,lump,,,,,late,,,,vita,,,,,,,,,
so,,,,,,,,,,tries,,,,,,,,,,,,public,,,,genero*,romanc*,problem*,,,,ideas,,,,,,,,,,,,,lunch*,,,,,lately,,,,vitas,,,,,,,,,
some,,,,,,,,,,try,,,,,,,,,,,,question*,,,,gentle,romantic*,protest,,,,identif*,,,,,,,,,,,,,lung*,,,,,later,,,,vocation*,,,,,,,,,
somebod*,,,,,,,,,,turn,,,,,,,,,,,,reassur*,,,,gentler,safe*,protested,,,,if,,,,,,,,,,,,,lust*,,,,,latest,,,,vp*,,,,,,,,,
somehow,,,,,,,,,,turned,,,,,,,,,,,,receiv*,,,,gentlest,satisf*,protesting,,,,ignit*,,,,,,,,,,,,,lymph*,,,,,lead*,,,,wage,,,,,,,,,
someone*,,,,,,,,,,turns,,,,,,,,,,,,refus*,,,,gently,save,puk*,,,,ignor*,,,,,,,,,,,,,makeout*,,,,,leave,,,,wages,,,,,,,,,
something*,,,,,,,,,,understand,,,,,,,,,,,,relationship*,,,,giggl*,scrumptious*,punish*,,,,imagin*,,,,,,,,,,,,,mammogram,,,,,leaves,,,,warehous*,,,,,,,,,
somewhat,,,,,,,,,,understands,,,,,,,,,,,,relatives,,,,giver*,secur*,rage*,,,,implica*,,,,,,,,,,,,,manicdep*,,,,,leaving,,,,welfare,,,,,,,,,
somewhere,,,,,,,,,,understood,,,,,,,,,,,,replie*,,,,giving,sentimental*,raging,,,,implicit*,,,,,,,,,,,,,meal*,,,,,led,,,,work ,,,,,,,,,
soon,,,,,,,,,,use,,,,,,,,,,,,reply*,,,,glad,share,rancid*,,,,implie*,,,,,,,,,,,,,medic*,,,,,ledge*,,,,workabl*,,,,,,,,,
sooo*,,,,,,,,,,used,,,,,,,,,,,,request*,,,,gladly,shared,rape*,,,,imply*,,,,,,,,,,,,,migrain*,,,,,ledging,,,,worked,,,,,,,,,
still,,,,,,,,,,uses,,,,,,,,,,,,respond*,,,,glamor*,shares,raping,,,,impossib*,,,,,,,,,,,,,milk*,,,,,left,,,,worker*,,,,,,,,,
stuff,,,,,,,,,,using,,,,,,,,,,,,role*,,,,glamour*,sharing,rapist*,,,,inact*,,,,,,,,,,,,,miscar*,,,,,level,,,,working*,,,,,,,,,
such,,,,,,,,,,viewed,,,,,,,,,,,,roomate*,,,,gloom*,silli*,rebel*,,,,inadequa*,,,,,,,,,,,,,mono,,,,,levels,,,,works,,,,,,,,,
ten,,,,,,,,,,wait,,,,,,,,,,,,roomed,,,,glori*,silly,reek*,,,,inclu*,,,,,,,,,,,,,mouth*,,,,,littl*,,,,xerox*,,,,,,,,,
tenth,,,,,,,,,,waited,,,,,,,,,,,,roomie*,,,,glory,sincer*,regret*,,,,incomplet*,,,,,,,,,,,,,mri ,,,,,local*,,,,,,,,,,,,,
than,,,,,,,,,,waits,,,,,,,,,,,,rooming,,,,goddam*,smart*,reject*,,,,indecis*,,,,,,,,,,,,,mucous*,,,,,long,,,,,,,,,,,,,
that,,,,,,,,,,walked,,,,,,,,,,,,roommate*,,,,good,smil*,reluctan*,,,,indeed,,,,,,,,,,,,,muscle*,,,,,longe*,,,,,,,,,,,,,
thatd,,,,,,,,,,want,,,,,,,,,,,,rumor*,,,,goodness,sociab*,remorse*,,,,indefinit*,,,,,,,,,,,,,muscular,,,,,longitud*,,,,,,,,,,,,,
that'd,,,,,,,,,,wanted,,,,,,,,,,,,rumour*,,,,gorgeous*,soulmate*,repress*,,,,independ*,,,,,,,,,,,,,myopi*,,,,,low*,,,,,,,,,,,,,
thatll,,,,,,,,,,wants,,,,,,,,,,,,said,,,,gossip*,special,resent*,,,,indetermin*,,,,,,,,,,,,,naked,,,,,map,,,,,,,,,,,,,
that'll,,,,,,,,,,was,,,,,,,,,,,,say*,,,,grace,splend*,resign*,,,,indirect*,,,,,,,,,,,,,nasal,,,,,mapped,,,,,,,,,,,,,
thats,,,,,,,,,,wasnt,,,,,,,,,,,,secret,,,,graced,strength*,restless*,,,,induc*,,,,,,,,,,,,,nause*,,,,,mapping,,,,,,,,,,,,,
that's,,,,,,,,,,wasn't,,,,,,,,,,,,secretive*,,,,graceful*,strong*,revenge*,,,,inevitab*,,,,,,,,,,,,,nearsighted,,,,,maps,,,,,,,,,,,,,
the,,,,,,,,,,we'd,,,,,,,,,,,,secrets,,,,graces,succeed*,ridicul*,,,,infallib*,,,,,,,,,,,,,neck,,,,,march*,,,,,,,,,,,,,
thee,,,,,,,,,,we'll,,,,,,,,,,,,self ,,,,graci*,success*,rigid*,,,,infer,,,,,,,,,,,,,nerve*,,,,,mass,,,,,,,,,,,,,
their*,,,,,,,,,,went,,,,,,,,,,,,send*,,,,grand,sunnier,risk*,,,,inferr*,,,,,,,,,,,,,neural*,,,,,meantime,,,,,,,,,,,,,
them,,,,,,,,,,were,,,,,,,,,,,,sent,,,,grande*,sunniest,rotten,,,,infers,,,,,,,,,,,,,neurolog*,,,,,meanwhile,,,,,,,,,,,,,
themselves,,,,,,,,,,we're,,,,,,,,,,,,share,,,,gratef*,sunny,rude*,,,,influenc*,,,,,,,,,,,,,neuron*,,,,,meter*,,,,,,,,,,,,,
then,,,,,,,,,,weren't,,,,,,,,,,,,shared,,,,grati*,sunshin*,ruin*,,,,info,,,,,,,,,,,,,nipple*,,,,,metre*,,,,,,,,,,,,,
there,,,,,,,,,,weve,,,,,,,,,,,,shares,,,,grave*,super,sad,,,,inform,,,,,,,,,,,,,nose*,,,,,mid,,,,,,,,,,,,,
theres,,,,,,,,,,we've,,,,,,,,,,,,sharing,,,,great,superior*,sadde*,,,,information,,,,,,,,,,,,,nostril*,,,,,middl*,,,,,,,,,,,,,
there's,,,,,,,,,,whats,,,,,,,,,,,,she,,,,greed*,support,sadly,,,,informative*,,,,,,,,,,,,,nude*,,,,,mile*,,,,,,,,,,,,,
these,,,,,,,,,,what's,,,,,,,,,,,,she'd,,,,grief,supported,sadness,,,,informed,,,,,,,,,,,,,nudi*,,,,,min,,,,,,,,,,,,,
they,,,,,,,,,,wheres,,,,,,,,,,,,she'll,,,,griev*,supporter*,sarcas*,,,,informing,,,,,,,,,,,,,numb*,,,,,minute*,,,,,,,,,,,,,
theyd,,,,,,,,,,where's,,,,,,,,,,,,shes,,,,grim*,supporting,savage*,,,,informs,,,,,,,,,,,,,nurse*,,,,,modern*,,,,,,,,,,,,,
they'd,,,,,,,,,,whod,,,,,,,,,,,,she's,,,,grin,supportive*,scare*,,,,inhib*,,,,,,,,,,,,,nutrition*,,,,,moment*,,,,,,,,,,,,,
theyll,,,,,,,,,,who'd,,,,,,,,,,,,sir,,,,grinn*,supports,scaring,,,,inquir*,,,,,,,,,,,,,obes*,,,,,monday*,,,,,,,,,,,,,
they'll,,,,,,,,,,wholl,,,,,,,,,,,,sis,,,,grins,suprem*,scary,,,,inside,,,,,,,,,,,,,OCD,,,,,month*,,,,,,,,,,,,,
theyre,,,,,,,,,,who'll,,,,,,,,,,,,sister*,,,,gross*,sure*,sceptic*,,,,insight*,,,,,,,,,,,,,optometr*,,,,,morning*,,,,,,,,,,,,,
they're,,,,,,,,,,whos,,,,,,,,,,,,social*,,,,grouch*,surpris*,scream*,,,,inspir*,,,,,,,,,,,,,orgasm*,,,,,motion*,,,,,,,,,,,,,
theyve,,,,,,,,,,who's,,,,,,,,,,,,societ*,,,,grr*,sweet,screw*,,,,intend*,,,,,,,,,,,,,orgies,,,,,move,,,,,,,,,,,,,
they've,,,,,,,,,,will,,,,,,,,,,,,somebod*,,,,guilt*,sweetheart*,selfish*,,,,intent*,,,,,,,,,,,,,orgy,,,,,moved,,,,,,,,,,,,,
thine,,,,,,,,,,wish,,,,,,,,,,,,someone*,,,,ha,sweetie*,serious,,,,interfer*,,,,,,,,,,,,,orthodon*,,,,,movement*,,,,,,,,,,,,,
thing*,,,,,,,,,,wished,,,,,,,,,,,,son,,,,haha*,sweetly,seriously,,,,interpret*,,,,,,,,,,,,,orthoped*,,,,,mover*,,,,,,,,,,,,,
third,,,,,,,,,,wishes,,,,,,,,,,,,sons,,,,handsom*,sweetness*,seriousness,,,,into,,,,,,,,,,,,,ovar*,,,,,moves,,,,,,,,,,,,,
thirt*,,,,,,,,,,woke,,,,,,,,,,,,son's,,,,happi*,sweets,severe*,,,,invariab*,,,,,,,,,,,,,overate,,,,,moving,,,,,,,,,,,,,
this,,,,,,,,,,woken,,,,,,,,,,,,soulmate*,,,,happy,talent*,shake*,,,,irrational*,,,,,,,,,,,,,overeat*,,,,,narrow*,,,,,,,,,,,,,
tho,,,,,,,,,,won,,,,,,,,,,,,speak,,,,harass*,tehe,shaki*,,,,irrefu*,,,,,,,,,,,,,overweight,,,,,nation*,,,,,,,,,,,,,
those,,,,,,,,,,wonder,,,,,,,,,,,,speaking,,,,harm,tender*,shaky,,,,issue,,,,,,,,,,,,,pain,,,,,near,,,,,,,,,,,,,
thou,,,,,,,,,,wondered,,,,,,,,,,,,speaks,,,,harmed,terrific*,shame*,,,,just,,,,,,,,,,,,,pained,,,,,neared,,,,,,,,,,,,,
though,,,,,,,,,,wont,,,,,,,,,,,,spoke*,,,,harmful*,thank,shit*,,,,justif*,,,,,,,,,,,,,painf*,,,,,nearer,,,,,,,,,,,,,
thousand*,,,,,,,,,,won't,,,,,,,,,,,,spous*,,,,harming,thanked,shock*,,,,keep,,,,,,,,,,,,,paining,,,,,nearest,,,,,,,,,,,,,
thoust,,,,,,,,,,wore,,,,,,,,,,,,stepchild*,,,,harmless*,thankf*,shook,,,,keeping*,,,,,,,,,,,,,painl*,,,,,nearing,,,,,,,,,,,,,
three,,,,,,,,,,worked,,,,,,,,,,,,stepfat*,,,,harmon*,thanks,shy*,,,,keeps,,,,,,,,,,,,,pains,,,,,nears,,,,,,,,,,,,,
through*,,,,,,,,,,worn,,,,,,,,,,,,stepkid*,,,,harms,thoughtful*,sicken*,,,,kept,,,,,,,,,,,,,palm,,,,,never,,,,,,,,,,,,,
thru,,,,,,,,,,would,,,,,,,,,,,,stepmot*,,,,hate,thrill*,sin,,,,kind (of),,,,,,,,,,,,,palms,,,,,new,,,,,,,,,,,,,
thy,,,,,,,,,,wouldnt,,,,,,,,,,,,stories,,,,hated,toleran*,sinister,,,,kinda,,,,,,,,,,,,,pap,,,,,newer,,,,,,,,,,,,,
til,,,,,,,,,,wouldn't,,,,,,,,,,,,story,,,,hateful*,tranquil*,sins,,,,kindof,,,,,,,,,,,,,paraly*,,,,,newest,,,,,,,,,,,,,
till,,,,,,,,,,wouldve,,,,,,,,,,,,suggest*,,,,hater*,treasur*,skeptic*,,,,knew,,,,,,,,,,,,,passion*,,,,,newly,,,,,,,,,,,,,
to,,,,,,,,,,would've,,,,,,,,,,,,sweetheart*,,,,hates,treat,slut*,,,,know,,,,,,,,,,,,,pasta*,,,,,next,,,,,,,,,,,,,
ton,,,,,,,,,,written,,,,,,,,,,,,sweetie*,,,,hating,triumph*,smother*,,,,knowab*,,,,,,,,,,,,,patholog*,,,,,night,,,,,,,,,,,,,
tons,,,,,,,,,,wrote,,,,,,,,,,,,talk,,,,hatred,true ,smug*,,,,knower*,,,,,,,,,,,,,pediatr*,,,,,nightly,,,,,,,,,,,,,
too,,,,,,,,,,youd,,,,,,,,,,,,talkative*,,,,hazy,trueness,snob*,,,,knowing,,,,,,,,,,,,,pee,,,,,nights,,,,,,,,,,,,,
total,,,,,,,,,,you'd,,,,,,,,,,,,talked,,,,heartbreak*,truer,sob,,,,knowledg*,,,,,,,,,,,,,pelvi*,,,,,noon*,,,,,,,,,,,,,
totally,,,,,,,,,,youll,,,,,,,,,,,,talker*,,,,heartbroke*,truest,sobbed,,,,known,,,,,,,,,,,,,penis*,,,,,north*,,,,,,,,,,,,,
toward*,,,,,,,,,,you'll,,,,,,,,,,,,talking,,,,heartfelt,truly,sobbing,,,,knows,,,,,,,,,,,,,perspir*,,,,,november,,,,,,,,,,,,,
trillion*,,,,,,,,,,youre,,,,,,,,,,,,talks,,,,heartless*,trust*,sobs,,,,lack*,,,,,,,,,,,,,perver*,,,,,now,,,,,,,,,,,,,
tripl*,,,,,,,,,,you're,,,,,,,,,,,,team*,,,,heartwarm*,truth*,solemn*,,,,launch*,,,,,,,,,,,,,pharmac*,,,,,nowhere,,,,,,,,,,,,,
truly,,,,,,,,,,youve,,,,,,,,,,,,teas*,,,,heaven*,useful*,sorrow*,,,,law,,,,,,,,,,,,,phobi*,,,,,occasional*,,,,,,,,,,,,,
twel*,,,,,,,,,,you've,,,,,,,,,,,,telephon*,,,,heh*,valuabl*,sorry,,,,lead*,,,,,,,,,,,,,physical*,,,,,oclock*,,,,,,,,,,,,,
twent*,,,,,,,,,,,,,,,,,,,,,,tell,,,,hell,value,spite*,,,,learn*,,,,,,,,,,,,,physician*,,,,,o'clock*,,,,,,,,,,,,,
twice,,,,,,,,,,,,,,,,,,,,,,telling,,,,hellish,valued,stammer*,,,,led,,,,,,,,,,,,,pill,,,,,october,,,,,,,,,,,,,
two,,,,,,,,,,,,,,,,,,,,,,tells,,,,helper*,values,stank,,,,lesson*,,,,,,,,,,,,,pills,,,,,off,,,,,,,,,,,,,
uhuh,,,,,,,,,,,,,,,,,,,,,,thee,,,,helpful*,valuing,startl*,,,,liabilit*,,,,,,,,,,,,,pimple*,,,,,old,,,,,,,,,,,,,
under,,,,,,,,,,,,,,,,,,,,,,their*,,,,helping,vigor*,steal*,,,,likel*,,,,,,,,,,,,,piss*,,,,,olden,,,,,,,,,,,,,
underneath,,,,,,,,,,,,,,,,,,,,,,them,,,,helpless*,vigour*,stench*,,,,limit*,,,,,,,,,,,,,pizza*,,,,,older,,,,,,,,,,,,,
unique,,,,,,,,,,,,,,,,,,,,,,themselves,,,,helps,virtue*,stink*,,,,link*,,,,,,,,,,,,,pms,,,,,oldest,,,,,,,,,,,,,
unless,,,,,,,,,,,,,,,,,,,,,,they,,,,hero*,virtuo*,strain*,,,,logic*,,,,,,,,,,,,,podiatr*,,,,,on,,,,,,,,,,,,,
until,,,,,,,,,,,,,,,,,,,,,,theyd,,,,hesita*,vital*,strange,,,,lot,,,,,,,,,,,,,poison*,,,,,once,,,,,,,,,,,,,
unto,,,,,,,,,,,,,,,,,,,,,,they'd,,,,hilarious,warm*,stress*,,,,lotof,,,,,,,,,,,,,poop*,,,,,onto,,,,,,,,,,,,,
up,,,,,,,,,,,,,,,,,,,,,,theyll,,,,hoho*,wealth*,struggl*,,,,lots ,,,,,,,,,,,,,porn*,,,,,open,,,,,,,,,,,,,
upon,,,,,,,,,,,,,,,,,,,,,,they'll,,,,homesick*,welcom*,stubborn*,,,,lotsa,,,,,,,,,,,,,pregnan*,,,,,opened,,,,,,,,,,,,,
us,,,,,,,,,,,,,,,,,,,,,,theyre,,,,honest*,well*,stunk,,,,lotta,,,,,,,,,,,,,prescri*,,,,,opening*,,,,,,,,,,,,,
usually,,,,,,,,,,,,,,,,,,,,,,they're,,,,honor*,win,stunned,,,,luck,,,,,,,,,,,,,prick*,,,,,order,,,,,,,,,,,,,
various,,,,,,,,,,,,,,,,,,,,,,theyve,,,,honour*,winn*,stuns,,,,lucked,,,,,,,,,,,,,prognos*,,,,,origin,,,,,,,,,,,,,
very,,,,,,,,,,,,,,,,,,,,,,they've,,,,hope,wins,stupid*,,,,lucki*,,,,,,,,,,,,,prostat*,,,,,out,,,,,,,,,,,,,
wanna,,,,,,,,,,,,,,,,,,,,,,thine,,,,hoped,wisdom,stutter*,,,,luckless*,,,,,,,,,,,,,prostitu*,,,,,outer*,,,,,,,,,,,,,
was,,,,,,,,,,,,,,,,,,,,,,thou,,,,hopeful,wise*,submissive*,,,,lucks,,,,,,,,,,,,,prozac,,,,,outside,,,,,,,,,,,,,
wasnt,,,,,,,,,,,,,,,,,,,,,,thoust,,,,hopefully,won,suck,,,,lucky,,,,,,,,,,,,,prude,,,,,outsides,,,,,,,,,,,,,
wasn't,,,,,,,,,,,,,,,,,,,,,,thy,,,,hopefulness,wonderf*,sucked,,,,made,,,,,,,,,,,,,prudes,,,,,outward*,,,,,,,,,,,,,
we,,,,,,,,,,,,,,,,,,,,,,told,,,,hopeless*,worship*,sucker*,,,,mainly,,,,,,,,,,,,,prudish*,,,,,over,,,,,,,,,,,,,
we'd,,,,,,,,,,,,,,,,,,,,,,transact*,,,,hopes,worthwhile,sucks,,,,make ,,,,,,,,,,,,,pubic,,,,,overflow*,,,,,,,,,,,,,
well,,,,,,,,,,,,,,,,,,,,,,uncle,,,,hoping,wow*,sucky,,,,maker*,,,,,,,,,,,,,puk*,,,,,overlap*,,,,,,,,,,,,,
we'll,,,,,,,,,,,,,,,,,,,,,,uncles,,,,horr*,yay,suffer,,,,makes,,,,,,,,,,,,,pulse,,,,,pass,,,,,,,,,,,,,
were,,,,,,,,,,,,,,,,,,,,,,uncle's,,,,hostil*,yays,suffered,,,,making,,,,,,,,,,,,,puss,,,,,passed,,,,,,,,,,,,,
we're,,,,,,,,,,,,,,,,,,,,,,ur,,,,hug,,sufferer*,,,,manipul*,,,,,,,,,,,,,pussies,,,,,passes,,,,,,,,,,,,,
weren't,,,,,,,,,,,,,,,,,,,,,,us,,,,hugg*,,suffering,,,,marginal*,,,,,,,,,,,,,pussy*,,,,,passing,,,,,,,,,,,,,
weve,,,,,,,,,,,,,,,,,,,,,,visit*,,,,hugs,,suffers,,,,matter*,,,,,,,,,,,,,queas*,,,,,past,,,,,,,,,,,,,
we've,,,,,,,,,,,,,,,,,,,,,,we,,,,humiliat*,,suspicio*,,,,may,,,,,,,,,,,,,queer*,,,,,period*,,,,,,,,,,,,,
what,,,,,,,,,,,,,,,,,,,,,,wed,,,,humor*,,tantrum*,,,,maybe,,,,,,,,,,,,,rape*,,,,,perpetual*,,,,,,,,,,,,,
whatever,,,,,,,,,,,,,,,,,,,,,,we'd,,,,humour*,,tears,,,,mean,,,,,,,,,,,,,raping,,,,,place*,,,,,,,,,,,,,
whats,,,,,,,,,,,,,,,,,,,,,,wedding*,,,,hurra*,,teas*,,,,meaning*,,,,,,,,,,,,,rapist*,,,,,placing*,,,,,,,,,,,,,
what's,,,,,,,,,,,,,,,,,,,,,,weds,,,,hurt*,,temper,,,,means,,,,,,,,,,,,,rash*,,,,,platform*,,,,,,,,,,,,,
when,,,,,,,,,,,,,,,,,,,,,,welcom*,,,,ideal*,,tempers,,,,meant,,,,,,,,,,,,,rehab*,,,,,point,,,,,,,,,,,,,
whenever,,,,,,,,,,,,,,,,,,,,,,we'll,,,,idiot,,tense*,,,,memor*,,,,,,,,,,,,,restau*,,,,,position*,,,,,,,,,,,,,
where,,,,,,,,,,,,,,,,,,,,,,we're,,,,ignor*,,tensing,,,,might,,,,,,,,,,,,,retina*,,,,,post,,,,,,,,,,,,,
whereas,,,,,,,,,,,,,,,,,,,,,,weve,,,,immoral*,,tension*,,,,mightve,,,,,,,,,,,,,rib,,,,,preced*,,,,,,,,,,,,,
wheres,,,,,,,,,,,,,,,,,,,,,,we've,,,,impatien*,,terribl*,,,,might've,,,,,,,,,,,,,ribs,,,,,present,,,,,,,,,,,,,
where's,,,,,,,,,,,,,,,,,,,,,,who,,,,impersonal,,terrified,,,,mind,,,,,,,,,,,,,ritalin,,,,,presently,,,,,,,,,,,,,
whether,,,,,,,,,,,,,,,,,,,,,,whod,,,,impolite*,,terrifies,,,,misle*,,,,,,,,,,,,,rx,,,,,prior,,,,,,,,,,,,,
which,,,,,,,,,,,,,,,,,,,,,,who'd,,,,importan*,,terrify,,,,mistak*,,,,,,,,,,,,,salad*,,,,,proceed*,,,,,,,,,,,,,
whichever,,,,,,,,,,,,,,,,,,,,,,wholl,,,,impress*,,terrifying,,,,misunder*,,,,,,,,,,,,,saliv*,,,,,pull*,,,,,,,,,,,,,
while,,,,,,,,,,,,,,,,,,,,,,who'll,,,,improve*,,terror*,,,,most,,,,,,,,,,,,,sandwich*,,,,,push*,,,,,,,,,,,,,
who,,,,,,,,,,,,,,,,,,,,,,whom,,,,improving,,thief,,,,mostly,,,,,,,,,,,,,scab*,,,,,put,,,,,,,,,,,,,
whod,,,,,,,,,,,,,,,,,,,,,,whos,,,,inadequa*,,thieve*,,,,motiv*,,,,,,,,,,,,,scalp,,,,,puts,,,,,,,,,,,,,
who'd,,,,,,,,,,,,,,,,,,,,,,who's,,,,incentive*,,threat*,,,,must,,,,,,,,,,,,,schizophren*,,,,,putting,,,,,,,,,,,,,
