,,,Linguistic Inquiry and Word Count   LIWC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
been,shes,us,,,,,,,,carries,he's,given,follow,,so,toward*,,uhuh,major,,tit,celebrat*,pa's,,newborn*,arrogan*,careful*,careless*,pressur*,enemie*,loser*,appeared,decid*,how's,regret*,hope,fundamentals,forgot*,,,experienc*,see,yelled,sand,bicep*,drool*,cyst*,kiss*,fat,august,departed,down,current*,com,dropout*,comic*,kitchen*,currenc*,holy,mourn*,,,
before,she's,we,,,,,,,,carry,Id,gone,follows,,somehow,under,,wasnt,majority,,tits,cell,relatives,,participant*,asham*,cares,cheat*,reluctan*,enemy*,loses,appearing,decis*,ignit*,should,hoped,guarant*,guard*,,,eye*,seeing,yelling,sands,binge*,ear,deaf*,lesbian*,fats,autumn,departing,downward*,cycle*,commerc*,earn*,concert*,landlord*,customer*,hymn*,murder*,,,
behind,somebod*,we'd,,,,,,,,caught,I'd,got,fuck,,soon,underneath,,wasn't,many,,titties,cellphon*,sis,,partner*,assault*,caring,complain*,repress*,enrag*,losing,appears,deduc*,implica*,shouldnt,hopeful,implicit*,halt*,,,eying,seen,yells,sandy,binging,ears,decongest*,libid*,fatt*,away,departs,east*,dail*,commute*,effect*,cook*,lawn*,debit*,immoral*,obit*,,,
being,someone*,we'll,,,,,,,,changed,I'll,gotten,fucks,,sooo*,unless,,weren't,more,,titty,cells,sister*,,people*,asshole*,casual,confront*,restless*,envie*,loss*,appreciat*,define,implie*,should'nt,hopefully,indeed,hangup*,,,feel,seer,,scratch*,bipolar,elbow*,dentist*,love,fed,awhile,departure*,edge,date*,commuting,efficien*,cruis*,lease*,debt*,immortal*,od,,,
below,something*,we're,,,,,,,,come,Im,guessed,get,,still,until,,without,most,,wanker*,cellular*,son,,person,assur*,casually,confus*,rigid*,envious,lost,approximat*,defines,imply*,shouldn't,hopefulness,inevitab*,harness*,,,feeling*,sees,,sharp*,bladder*,erectile,derma*,loved,feed,back,disappear*,edges,day*,companies,effort*,danc*,leasing*,deposit*,islam*,oded,,,
beneath,somewhere,weve,,,,,,,,comes,I'm,had,gets,,such,unto,,wont,much,,,chat*,sons,,persons,attachment*,certain*,contempt*,risk*,envy*,low*,arbitrar*,defining,inact*,shoulds,hopes,infallib*,held,,,feels,shine,,silk*,bleed*,erection*,detox*,lover*,feeder*,backward*,drift*,edging,decade*,company,elit*,decorat*,loft,dime*,jesuit*,overdosed,,,
beside,stuff,we've,,,,,,,,could,is,hadnt,give,,there,up,,won't,mucho,,,chick,son's,,person's,attack*,challeng*,contradic*,scare*,evil*,melanchol*,around,determina*,independ*,shouldve,hoping,invariab*,hesita*,,,felt,shini*,,skin,blind*,eye*,diabet*,loves,feeding*,before,drive,empt*,decay*,comput*,enabl*,diaries,lofts,dinar*,jesus,pallbearer*,,,
besides,that,ya,,,,,,,,couldnt,isnt,hadn't,gives,,theres,upon,,wouldnt,neither,,,chick'*,spous*,,self ,attract*,champ*,crap,scaring,feroc*,miser*,assum*,determine,induc*,should've,hypothes*,irrefu*,hold*,,,fetid*,shiny,,skin'*,blood,face,diagnos*,lust*,feeds,began,driven,enclos*,december,conferenc*,endeav*,diary,loveseat*,dinero,jew,plague*,,,
best ,thatd,yall,,,,,,,,couldn't,isn't,happened,go,,there's,wanna,,wouldn't,none,,,chicks,stepchild*,,sir,aversi*,charit*,crappy,scary,feud*,miss,assur*,determined,infer,undesire*,hypothetic*,must,ignor*,,,finger*,sight*,,smooth*,bloody,faces,diarr*,makeout*,food*,begin,drives,encompass*,delay*,conglom*,excel*,dj*,maid*,discount*,jewish*,reaper*,,,
between,that'd,y'all,,,,,,,,couldve,itd,hated,goes,,tho,with,,,ones,,,child,stepfat*,,societ*,avoid*,charm*,craz*,shake*,fiery,missed,attent*,determines,inferr*,undo,if,mustnt,inhib*,,,fire,squar*,,soft*,bodi*,facial*,digest*,naked,fries,beginn*,driving,enorm*,due,consult*,fail*,drama,mailbox,dividend*,jews,slaughter*,,,
